ID,Homepage _Duration,Aboutus_Duration,Contactus,BounceRates,ExitRates,PageValues,SpecialDay,TrafficType,Weekend,Nov,A,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,New_Visitor,Other,Returning_Visitor
46,15,0,29,0.011555556,0.046190476,0,0.8,3,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
47,146.5333333,0,107,0,0.009316239,2.551140814,0,2,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
48,88.625,170.5833333,5,0,0.005555556,0,0,2,FALSE,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
49,326.25,94,128,0.000854701,0.01791847,0,0,3,FALSE,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
50,109.8,0,32,0.005882353,0.035620915,0,0,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
51,0,0,12,0.016666667,0.041666667,0,0,4,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
52,0,0,52,0.015384615,0.020352564,0,0,1,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
53,0,0,11,0.012121212,0.014545455,0,0,3,TRUE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
54,134.1,0,7,0,0.015151515,0,0,5,FALSE,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
55,0,0,1,0.2,0.2,0,0,4,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
56,0,0,8,0,0.022222222,0,0,1,TRUE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
57,0,0,9,0.014814815,0.022222222,0,0,1,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
58,80,48,25,0,0.007692308,0,0,2,TRUE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
59,209,0,18,0,0.01875,0,0.4,3,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
60,148,58.5,33,0,0.007830405,0,0,2,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
61,11,0,19,0.009090909,0.041915584,0,0,1,FALSE,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
62,152.875,54.91666667,85,0.002197802,0.013631606,1.022550578,0,1,FALSE,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
63,0,104,9,0.05,0.096,0,1,4,TRUE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
64,1455.35,0,66,0.007142857,0.029065112,0,0,2,TRUE,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
65,0,172,32,0.005882353,0.015787285,6.380862745,0,6,FALSE,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
66,0,0,14,0,0.042857143,0,0,1,TRUE,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
67,0,0,1,0.2,0.2,0,0,3,FALSE,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
68,81,0,12,0,0.003076923,0,1,4,TRUE,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
69,0,38,10,0.018181818,0.036363636,0,0,4,TRUE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
70,0,0,2,0,0.025,0,0,3,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
71,591.6636364,0,56,0.004918033,0.011662763,8.184095082,0,2,FALSE,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
72,2,0,24,0.025,0.035,24.34016667,0,6,FALSE,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
73,0,0,12,0.004166667,0.043055556,0,0,2,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
74,0,0,7,0.057142857,0.085714286,0,0,1,TRUE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
75,60,0,20,0,0.004761905,60.19477937,0,2,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
76,0,0,6,0.033333333,0.022222222,44.99,0,5,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
77,7,0,11,0.035555556,0.058412698,0,0,20,FALSE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
78,7,562,36,0.010810811,0.038738739,0,0,1,TRUE,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
79,71.33333333,0,21,0.016666667,0.058333333,0,0,2,TRUE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
80,0,0,5,0.04,0.07,0,0,8,TRUE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
81,0,0,2,0,0.05,0,0,10,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
82,246.5,0,74,0,0.002597403,5.015272727,0,2,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
83,0,0,15,0.013333333,0.04,0,0,10,TRUE,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
84,56,88,22,0,0.010142857,0,0,9,TRUE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
85,180.9,0,26,0,0.005952381,0,0,2,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
86,0,0,7,0,0.025,54.20146753,0,2,FALSE,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
87,0,0,7,0.071428571,0.1,0,0,1,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
88,0,0,25,0,0.030666667,0,0.8,1,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
89,4,0,47,0.004444444,0.030864198,0,0,1,FALSE,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
90,0,0,15,0.003571429,0.053571429,0,0,1,FALSE,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
91,292.1904762,194.5,56,0.001724138,0.021055381,14.69293103,0,2,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
92,0,0,3,0,0.033333333,0,0,13,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
93,112.8,0,8,0,0.011111111,28.69843548,0,2,TRUE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
94,0,0,4,0,0.05,0,0,8,FALSE,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
95,0,0,4,0,0.05,0,0,3,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
96,72.6,0,44,0,0,0,0,5,FALSE,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
97,239.3333333,0,31,0,0.025324675,21.85958403,0,2,FALSE,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
98,0,0,29,0.009195402,0.028275862,0,0,3,FALSE,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
99,155.6,282,52,0.024747475,0.039201413,12.07468889,0,2,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
100,0,0,3,0,0.033333333,0,0,1,FALSE,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
101,216.6,0,34,0.006060606,0.007575758,0,0,2,FALSE,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
102,310.8571429,27,68,0.009589041,0.023074581,16.6702274,0,6,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
103,438.3309524,703.5,178,0.002878526,0.016885589,2.038399449,0,10,FALSE,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
104,14.2,0,22,0,0.000952381,60.58437066,0,2,TRUE,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
105,190,0,53,0.017857143,0.022238793,0,0,10,TRUE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
106,0,0,23,0.004347826,0.022222222,0,0,11,TRUE,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
107,0,0,30,0.006666667,0.02,0,0,1,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
108,78,0,27,0.0125,0.039583333,8.07853125,0,4,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
109,0,0,13,0.038461538,0.084615385,0,0,13,FALSE,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
110,0,0,2,0,0.1,0,0,2,TRUE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
111,251,172,64,0.008552632,0.024502924,0,0,2,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
112,69.6,53,6,0,0.02,0,0,3,TRUE,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
113,0,0,1,0.2,0.2,0,0,3,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
114,0,0,13,0.084615385,0.102564103,0,0,1,FALSE,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
115,0,0,1,0.2,0.2,0,0,1,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
116,0,0,1,0.2,0.2,0,0.4,3,FALSE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
117,0,0,54,0.003846154,0.024807692,0,0,1,TRUE,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
118,184,61,68,0,0.009553204,17.19611523,0,3,FALSE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
119,32,43.5,311,0.001387656,0.014687275,0,0,2,FALSE,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
120,82,0,59,0.007909605,0.023728814,23.87629104,0,13,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
121,10.77142857,0,70,0.023611111,0.05224537,0,0,1,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
122,146,52.25,1,0,0.04,0,0,2,FALSE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
123,5,0,13,0.013333333,0.020784314,26.12015415,0,2,TRUE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
124,0,0,4,0.05,0.1,0,0,1,FALSE,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
125,37,0,30,0,0.01547619,3.356892857,0,4,TRUE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
126,0,0,21,0.01,0.048333333,0,0,3,FALSE,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
127,160.0952381,94.5,47,0.001333333,0.007891429,5.698642857,0,10,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
128,125.5,0,19,0.002469136,0.023703704,0,0,2,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
129,39,12,15,0,0.02010582,0,0,4,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
130,24,0,28,0,0.023222222,5.417644444,0,2,FALSE,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
131,0,83,16,0,0.023529412,0,0,2,FALSE,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
132,141.0583333,0,46,0,0.019059741,0,0,4,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
133,229.5,0,31,0.0125,0.034375,17.15249937,0,8,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
134,0,0,12,0.15,0.166666667,0,0.4,3,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
135,4,0,18,0,0.027777778,56.32466667,0,3,FALSE,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
136,195.4864719,60.5,94,0.002111614,0.008213489,4.511078764,0,2,FALSE,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
137,0,0,5,0,0.04,0,0,3,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
138,6,0,16,0.011764706,0.026666667,52.70052142,0,11,FALSE,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
139,224.5833333,84,15,0.008695652,0.013043478,0,0,2,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
140,0,0,55,0.010909091,0.025454545,0,0,1,TRUE,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
141,31.2,42.4,13,0,0.0125,0,0,2,FALSE,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
142,44.75,0,7,0.066666667,0.074074074,0,0.4,13,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
143,0,0,2,0,0.1,0,0,8,FALSE,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
144,0,0,3,0,0.1,0,0,2,FALSE,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
145,100.75,0,11,0,0.015384615,0,0,2,TRUE,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
146,125.6309524,75,312,0.002769231,0.014969192,8.055833998,0,2,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
147,40.2,0,12,0.011111111,0.036944444,0,0,2,FALSE,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
148,35.2,98.8,84,0.008914729,0.037209302,0,0,1,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
149,107.2083333,0,17,0,0.012030075,17.54619116,0,10,FALSE,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
150,0,0,6,0,0.008333333,0,0,2,FALSE,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
151,0,0,6,0,0.016666667,0,0,3,FALSE,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
152,212.6,0,87,0,0.00411985,0,0,1,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
153,0,0,15,0.026666667,0.04,0,0,1,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
154,0,0,1,0.2,0.2,0,0,3,FALSE,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
155,0,0,12,0,0.009090909,17.808,0,6,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
156,26.75,49.5,62,0.010769231,0.026444444,0,0,2,FALSE,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
157,0,0,21,0.035497835,0.057482993,0,0,13,FALSE,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
158,0,0,1,0.2,0.2,0,0,10,TRUE,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
159,76.5,0,10,0.022857143,0.059444444,0,0,10,FALSE,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
160,0,0,53,0.022641509,0.036298293,0,1,3,TRUE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
161,0,0,14,0,0.021428571,0,0,11,TRUE,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
162,19,0,8,0.04,0.1,0,0,1,FALSE,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
163,0,0,4,0,0.05,0,0,6,FALSE,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
164,0,0,5,0.02,0.1,0,0.8,4,FALSE,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
165,0,0,25,0,0.02,0,0,1,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
166,106,0,6,0,0.025,0,0,2,FALSE,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
167,227.375,102.25,48,0,0.014853801,4.741626063,0,2,FALSE,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
168,0,0,7,0.038095238,0.038571429,0,0,3,FALSE,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
169,0,0,22,0,0.01,0,0,1,FALSE,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
170,0,0,5,0,0.04,42.03044096,0,2,FALSE,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
171,0,0,7,0,0.042857143,0,1,1,TRUE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
172,267.8,0,6,0.028571429,0.038095238,0,0,4,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
173,0,0,8,0.025,0.0875,0,0,13,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
174,0,0,76,0.005866667,0.019555556,0,0,4,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
175,0,0,9,0.066666667,0.122222222,0,0.8,13,FALSE,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
176,0,0,2,0,0.1,0,0,1,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
177,1294.9,32.66666667,37,0,0.006910299,33.31220592,0,2,FALSE,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
178,0,0,12,0,0.006666667,19.37005896,0,1,TRUE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
179,0,0,5,0.08,0.12,0,0,1,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
180,59,0,3,0,0.025,0,0,2,TRUE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
181,64.5,0,24,0,0.0186,15.27655756,0,2,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
182,43.4,0,32,0.009259259,0.036759259,26.5455,0,2,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
183,0,0,20,0,0.010526316,104.2012273,0,2,FALSE,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
184,177.25,0,13,0,0.021428571,0,0,2,TRUE,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
185,45.5,0,43,0.006349206,0.03537415,0,0,3,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
186,175.9333333,0,28,0.005882353,0.017058824,0,1,4,TRUE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
187,193,13,66,0.004489796,0.012765306,29.45815149,0,1,TRUE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
188,0,0,15,0,0.04,0,0,2,TRUE,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
